,Date,Open,High,Low,Close
480,2008-08-28,175.28,176.25,172.75,173.74
481,2008-08-29,172.96,173.5,169.0401,169.53
482,2008-09-02,172.4,173.5,165.0,166.19
483,2008-09-03,166.84,168.68,164.0,166.96
484,2008-09-04,165.86,167.9125,160.81,161.22
485,2008-09-05,158.59,162.4,157.65,160.18
486,2008-09-08,164.57,164.89,151.4585,157.92
487,2008-09-09,156.86,159.96,149.79,151.68
488,2008-09-10,152.32,154.99,148.8,151.61
489,2008-09-11,148.18,152.99,146.0,152.65
490,2008-09-12,150.9099,150.9099,146.5,148.94
491,2008-09-15,142.03,147.69,140.36,140.36
492,2008-09-16,133.86,142.5,132.15,139.88
493,2008-09-17,138.49,138.51,127.83,127.83
494,2008-09-18,130.57,140.0,120.68,134.09
495,2008-09-19,142.6,144.2,136.31,140.91
496,2008-09-22,139.94,140.25,130.66,131.05
497,2008-09-23,131.85,135.8,126.66,126.84
498,2008-09-24,127.27,130.95,125.15,128.71
499,2008-09-25,129.8,134.79,128.52,131.93
500,2008-09-26,124.91,129.8,123.0,128.24
501,2008-09-29,119.62,119.68,100.59,105.26
502,2008-09-30,108.25,115.0,106.3,113.66
503,2008-10-01,111.92,112.36,107.39,109.12
504,2008-10-02,108.01,108.79,100.0,100.1
505,2008-10-03,104.0,106.5,94.65,97.07
506,2008-10-06,91.96,98.78,87.54,98.14
507,2008-10-07,100.48,101.5,88.95,89.16
508,2008-10-08,85.9125,96.33,85.68,89.79
509,2008-10-09,93.35,95.8,86.6,88.74
510,2008-10-10,85.7,100.0,85.0,96.8
511,2008-10-13,104.55,110.53,101.02,110.26
512,2008-10-14,116.26,116.4,103.14,104.08
513,2008-10-15,103.84,107.0,97.89,97.95
514,2008-10-16,99.77,103.43,91.74,101.89
515,2008-10-17,99.6,102.04,85.885,97.4
516,2008-10-20,99.78,100.03,93.64,98.44
517,2008-10-21,96.95,97.9,91.16,91.49
518,2008-10-22,97.37,101.25,92.93,96.87
519,2008-10-23,96.51,99.25,91.9,98.23
520,2008-10-24,90.33,97.9,90.11,96.38
521,2008-10-27,95.07,97.63,91.86,92.09
522,2008-10-28,95.43,100.5,92.37,99.91
523,2008-10-29,100.86,109.54,99.94,104.55
524,2008-10-30,108.23,112.19,107.61,111.04
525,2008-10-31,107.4,110.78,105.14,107.59
526,2008-11-03,105.93,109.1,104.86,106.96
527,2008-11-04,109.99,111.79,106.67,110.99
528,2008-11-05,108.91,109.72,102.99,103.3
529,2008-11-06,101.05,102.78,98.0,99.1
530,2008-11-07,99.24,99.85,95.72,98.24
531,2008-11-10,100.17,100.4,94.5,95.88
532,2008-11-11,94.81,97.17,92.26,94.77
533,2008-11-12,92.43,93.24,90.01,90.12
534,2008-11-13,89.87,96.44,86.02,96.44
535,2008-11-14,93.76,93.99,90.0,90.24
536,2008-11-17,88.48,90.55,87.26,88.14
537,2008-11-18,89.64,90.99,86.86,89.91
538,2008-11-19,89.44,91.58,86.21,86.29
539,2008-11-20,85.24,86.45,80.0,80.49
